Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,log_fare
0,3,male,22,1,0,S,1.9811393903894556
1,1,female,38,1,0,C,4.266676106820038
1,3,female,26,0,0,S,2.0701484947682434
1,1,female,35,1,0,S,3.9721957604622795
0,3,male,35,0,0,S,2.085796307317844
0,3,male,NA,0,0,Q,2.1352664278780127
0,1,male,54,0,0,S,3.9486152672277353
0,3,male,2,3,1,S,3.0481349523470396
1,3,female,27,0,2,S,2.4100304338926613
1,2,female,14,1,0,C,3.403587855534786
1,3,female,4,1,1,S,2.8154685978694802
1,1,female,58,0,0,S,3.279067411762075
0,3,male,20,0,0,S,2.085796307317844
0,3,male,39,1,5,S,3.4428510302622675
0,3,female,14,0,0,S,2.061175732872943
1,2,female,55,0,0,S,2.7726512202867375
0,3,male,2,4,1,Q,3.3716312460603888
1,2,male,NA,0,0,S,2.5650262775800314
0,3,female,31,1,0,S,2.8904273119085677
1,3,female,NA,0,0,C,1.9776856327254484
0,2,male,35,0,0,S,3.2581349988203177
1,2,male,34,0,0,S,2.5650262775800314
1,3,female,15,0,0,Q,2.083209434248755
1,1,male,28,0,0,S,3.5695608650987154
0,3,female,8,3,1,S,3.0481349523470396
1,3,female,38,1,5,S,3.4464415837929963
0,3,male,NA,0,0,C,1.9776856327254484
0,1,male,19,3,2,S,5.572157834451905
1,3,female,NA,0,0,Q,2.0643532842583627
0,3,male,NA,0,0,S,2.0664576141215414
0,1,male,40,0,0,C,3.3222191072784475
1,1,female,NA,1,0,C,4.987174222847439
1,3,female,NA,0,0,Q,2.0478218672993744
0,2,male,66,0,0,S,2.351470490723856
0,1,male,28,1,0,C,4.4088121775082065
0,1,male,42,1,0,S,3.9512629491657494
1,3,male,NA,0,0,C,1.978266698305362
0,3,male,21,0,0,S,2.085796307317844
0,3,female,18,2,0,S,2.8904273119085677
1,3,female,14,1,0,C,2.4197190291420276
0,3,female,40,1,0,S,2.248762286296539
0,2,female,27,1,0,S,3.0445700556372914
0,3,male,NA,0,0,C,2.0664576141215414
1,2,female,3,1,2,C,3.7276240924231088
1,3,female,19,0,0,Q,2.0643532842583627
0,3,male,NA,0,0,S,2.085796307317844
0,3,male,NA,1,0,Q,2.740904537973157
1,3,female,NA,0,0,Q,2.0478218672993744
0,3,male,NA,2,0,C,3.0763994016211456
0,3,female,18,1,0,S,2.879254635495296
0,3,male,7,4,1,S,3.681061473185869
0,3,male,21,0,0,S,2.054251930606176
1,1,female,49,1,0,C,4.3402953727285984
1,2,female,29,1,0,S,3.2581349988203177
0,1,male,65,0,1,C,4.126814979201766
1,1,male,NA,0,0,S,3.5695608650987154
1,2,female,21,0,0,S,2.351470490723856
